Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.2,0.0011813349084465446,0.991869918699187,0.9640923339982901,30.5,3509,0
race,African-American,0.36363636363636365,0.0021406727828746177,0.9658119658119658,0.9645704162976085,16.142857142857142,3387,1
race,African-American,0.2,0.002448729721456994,0.986013986013986,0.9563049853372434,17.625,3410,2
race,African-American,0.0,0.0033082706766917294,1.0,0.9667444574095683,9.363636363636363,3428,3
race,African-American,0.3333333333333333,0.001210287443267776,0.9838709677419355,0.963254593175853,30.5,3429,4
race,Asian,,0.0,1.0,0.9347826086956522,inf,46,0
race,Asian,,0.0,,1.0,,44,1
race,Asian,,0.0,,1.0,,50,2
race,Asian,,0.0,1.0,0.9782608695652174,inf,46,3
race,Asian,,0.0,,1.0,,56,4
race,Caucasian,0.5833333333333334,0.0003348064818534887,0.9815303430079155,0.9753803957421798,74.4,15313,0
race,Caucasian,0.3333333333333333,0.000264812975835816,0.9943019943019943,0.9771609730848861,87.25,15456,1
race,Caucasian,0.35,0.0008653398122878253,0.9802816901408451,0.976524905709455,26.76923076923077,15378,2
race,Caucasian,0.6153846153846154,0.00033242470580413535,0.9757575757575757,0.9787261726628066,64.4,15371,3
race,Caucasian,0.4666666666666667,0.0005322687957418496,0.981081081081081,0.975909090909091,45.375,15400,4
race,Indian,,0.0,,1.0,,19,0
race,Indian,,0.0,,1.0,,15,1
race,Indian,,0.0,,1.0,,19,2
race,Indian,,0.0,,1.0,,15,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,,1.0,,315,0
race,Other,,0.0,1.0,0.9866666666666667,inf,300,1
race,Other,,0.0,1.0,0.9826086956521739,inf,345,2
race,Other,,0.0,1.0,0.9941520467836257,inf,342,3
race,Other,,0.0,1.0,0.9836601307189542,inf,306,4
sex,female,0.47058823529411764,0.000696217219772569,0.9813084112149533,0.96787719955073,46.666666666666664,13355,0
sex,female,0.3125,0.0008423954663807628,0.9868421052631579,0.9712754874237237,34.09090909090909,13438,1
sex,female,0.3103448275862069,0.001539882968894364,0.9773299748110831,0.96951811729548,19.4,13385,2
sex,female,0.36363636363636365,0.001078001078001078,0.9780821917808219,0.9722139005392451,25.5,13352,3
sex,female,0.42105263157894735,0.0008479149001772913,0.9799498746867168,0.9699371821717021,35.54545454545455,13372,4
sex,male,,0.0,1.0,0.9868308534291089,inf,5847,0
sex,male,1.0,0.0,0.9891304347826086,0.9842123525329632,inf,5764,1
sex,male,0.0,0.00017513134851138354,1.0,0.9814337287261475,107.0,5817,2
sex,male,0.0,0.0003460806367883717,1.0,0.9875213675213675,35.5,5850,3
sex,male,0.5,0.00017452006980802793,0.99,0.9828473413379074,99.0,5830,4
