Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,Asian,0.0,0.1,0.021739130434782608,46,0
race,Caucasian,0.0,0.1,0.052512629619781974,15044,0
race,African-American,0.0,0.1,0.05062554553389584,3437,0
race,Other,0.0,0.1,0.022222222222222223,315,0
race,Indian,0.0,0.1,0.0,19,0
race,Caucasian,0.0,0.1,0.05319289005924951,15190,1
race,African-American,0.0,0.1,0.0476047002109069,3319,1
race,Other,0.0,0.1,0.030100334448160536,299,1
race,Indian,0.0,0.1,0.06666666666666667,15,1
race,Asian,0.0,0.1,0.023255813953488372,43,1
race,Caucasian,0.0,0.1,0.05013927576601671,15078,2
race,African-American,0.0,0.1,0.04971376920759265,3319,2
race,Asian,0.0,0.1,0.0,49,2
race,Indian,0.0,0.1,0.0,19,2
race,Other,0.0,0.1,0.03508771929824561,342,2
race,African-American,0.0,0.1,0.051481592337623464,3341,3
race,Caucasian,0.0,0.1,0.04932705695153484,15083,3
race,Indian,0.0,0.1,0.0,15,3
race,Other,0.0,0.1,0.014619883040935672,342,3
race,Asian,0.0,0.1,0.0,45,3
race,Caucasian,0.0,0.1,0.05237023305084746,15104,4
race,African-American,0.0,0.1,0.049641148325358854,3344,4
race,Asian,0.0,0.1,0.017857142857142856,56,4
race,Other,0.0,0.1,0.01639344262295082,305,4
race,Indian,0.0,0.1,0.0,11,4
race,Asian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.2736842105263158,190,0
race,African-American,0.1,0.2,0.21818181818181817,55,0
race,Other,0.1,0.2,,0,0
race,Indian,0.1,0.2,,0,0
race,Caucasian,0.1,0.2,0.29347826086956524,184,1
race,African-American,0.1,0.2,0.20930232558139536,43,1
race,Other,0.1,0.2,,0,1
race,Indian,0.1,0.2,,0,1
race,Asian,0.1,0.2,,0,1
race,Caucasian,0.1,0.2,0.2436548223350254,197,2
race,African-American,0.1,0.2,0.22807017543859648,57,2
race,Asian,0.1,0.2,1.0,1,2
race,Indian,0.1,0.2,,0,2
race,Other,0.1,0.2,0.0,1,2
race,African-American,0.1,0.2,0.1724137931034483,58,3
race,Caucasian,0.1,0.2,0.20430107526881722,186,3
race,Indian,0.1,0.2,,0,3
race,Other,0.1,0.2,,0,3
race,Asian,0.1,0.2,,0,3
race,Caucasian,0.1,0.2,0.31088082901554404,193,4
race,African-American,0.1,0.2,0.25,56,4
race,Asian,0.1,0.2,,0,4
race,Other,0.1,0.2,0.0,1,4
race,Indian,0.1,0.2,,0,4
race,Asian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.3695652173913043,46,0
race,African-American,0.2,0.3,0.2727272727272727,11,0
race,Other,0.2,0.3,,0,0
race,Indian,0.2,0.3,,0,0
race,Caucasian,0.2,0.3,0.18604651162790697,43,1
race,African-American,0.2,0.3,0.0,9,1
race,Other,0.2,0.3,,0,1
race,Indian,0.2,0.3,,0,1
race,Asian,0.2,0.3,,0,1
race,Caucasian,0.2,0.3,0.22727272727272727,66,2
race,African-American,0.2,0.3,0.21052631578947367,19,2
race,Asian,0.2,0.3,,0,2
race,Indian,0.2,0.3,,0,2
race,Other,0.2,0.3,,0,2
race,African-American,0.2,0.3,0.3076923076923077,13,3
race,Caucasian,0.2,0.3,0.35714285714285715,56,3
race,Indian,0.2,0.3,,0,3
race,Other,0.2,0.3,,0,3
race,Asian,0.2,0.3,,0,3
race,Caucasian,0.2,0.3,0.3559322033898305,59,4
race,African-American,0.2,0.3,0.2777777777777778,18,4
race,Asian,0.2,0.3,,0,4
race,Other,0.2,0.3,,0,4
race,Indian,0.2,0.3,,0,4
race,Asian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.25,12,0
race,African-American,0.3,0.4,0.6666666666666666,3,0
race,Other,0.3,0.4,,0,0
race,Indian,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,0.2777777777777778,18,1
race,African-American,0.3,0.4,0.5,12,1
