Attribute,Attribute Value,Lower Limit Score,Upper Limit Score,Conditional Frequency,Individuals Evaluated On,fold_num
race,African-American,0.0,0.1,,0,0
race,Hispanic,0.0,0.1,,0,0
race,Caucasian,0.0,0.1,,0,0
race,Other,0.0,0.1,,0,0
race,Other,0.0,0.1,0.0,4,1
race,Caucasian,0.0,0.1,0.08695652173913043,23,1
race,African-American,0.0,0.1,0.125,24,1
race,Hispanic,0.0,0.1,0.16666666666666666,6,1
race,African-American,0.0,0.1,0.5,4,2
race,Other,0.0,0.1,,0,2
race,Caucasian,0.0,0.1,0.6666666666666666,3,2
race,Hispanic,0.0,0.1,,0,2
race,African-American,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,,0,3
race,Hispanic,0.0,0.1,,0,3
race,Other,0.0,0.1,,0,3
race,Caucasian,0.0,0.1,0.041666666666666664,24,4
race,African-American,0.0,0.1,0.15789473684210525,19,4
race,Hispanic,0.0,0.1,0.0,2,4
race,Other,0.0,0.1,0.0,6,4
race,African-American,0.1,0.2,0.14814814814814814,54,0
race,Hispanic,0.1,0.2,0.0,11,0
race,Caucasian,0.1,0.2,0.10714285714285714,56,0
race,Other,0.1,0.2,0.1111111111111111,9,0
race,Other,0.1,0.2,0.16666666666666666,6,1
race,Caucasian,0.1,0.2,0.17307692307692307,52,1
race,African-American,0.1,0.2,0.23684210526315788,76,1
race,Hispanic,0.1,0.2,0.1111111111111111,9,1
race,African-American,0.1,0.2,0.09375,64,2
race,Other,0.1,0.2,0.2857142857142857,7,2
race,Caucasian,0.1,0.2,0.11666666666666667,60,2
race,Hispanic,0.1,0.2,0.1111111111111111,9,2
race,African-American,0.1,0.2,0.12,50,3
race,Caucasian,0.1,0.2,0.25862068965517243,58,3
race,Hispanic,0.1,0.2,0.0,12,3
race,Other,0.1,0.2,0.2,5,3
race,Caucasian,0.1,0.2,0.2972972972972973,37,4
race,African-American,0.1,0.2,0.21978021978021978,91,4
race,Hispanic,0.1,0.2,0.125,16,4
race,Other,0.1,0.2,0.2,10,4
race,African-American,0.2,0.3,0.20588235294117646,136,0
race,Hispanic,0.2,0.3,0.08333333333333333,12,0
race,Caucasian,0.2,0.3,0.296875,64,0
race,Other,0.2,0.3,0.15384615384615385,13,0
race,Other,0.2,0.3,0.3333333333333333,3,1
race,Caucasian,0.2,0.3,0.20833333333333334,48,1
race,African-American,0.2,0.3,0.2553191489361702,94,1
race,Hispanic,0.2,0.3,0.2727272727272727,11,1
race,African-American,0.2,0.3,0.2764227642276423,123,2
race,Other,0.2,0.3,0.2727272727272727,11,2
race,Caucasian,0.2,0.3,0.19672131147540983,61,2
race,Hispanic,0.2,0.3,0.2222222222222222,9,2
race,African-American,0.2,0.3,0.2357142857142857,140,3
race,Caucasian,0.2,0.3,0.22413793103448276,58,3
race,Hispanic,0.2,0.3,0.07142857142857142,14,3
race,Other,0.2,0.3,0.08333333333333333,12,3
race,Caucasian,0.2,0.3,0.3333333333333333,27,4
race,African-American,0.2,0.3,0.26804123711340205,97,4
race,Hispanic,0.2,0.3,0.0,8,4
race,Other,0.2,0.3,0.1,10,4
race,African-American,0.3,0.4,,0,0
race,Hispanic,0.3,0.4,,0,0
race,Caucasian,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,0
race,Other,0.3,0.4,,0,1
race,Caucasian,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,1
race,Hispanic,0.3,0.4,,0,1
race,African-American,0.3,0.4,,0,2
race,Other,0.3,0.4,,0,2
race,Caucasian,0.3,0.4,,0,2
race,Hispanic,0.3,0.4,,0,2
race,African-American,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,3
race,Hispanic,0.3,0.4,,0,3
race,Other,0.3,0.4,,0,3
race,Caucasian,0.3,0.4,,0,4
race,African-American,0.3,0.4,,0,4
race,Hispanic,0.3,0.4,,0,4
race,Other,0.3,0.4,,0,4
race,African-American,0.4,0.5,,0,0
race,Hispanic,0.4,0.5,,0,0
race,Caucasian,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,0
race,Other,0.4,0.5,,0,1
race,Caucasian,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,1
race,Hispanic,0.4,0.5,,0,1
race,African-American,0.4,0.5,,0,2
race,Other,0.4,0.5,,0,2
race,Caucasian,0.4,0.5,,0,2
race,Hispanic,0.4,0.5,,0,2
race,African-American,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,3
race,Hispanic,0.4,0.5,,0,3
race,Other,0.4,0.5,,0,3
race,Caucasian,0.4,0.5,,0,4
race,African-American,0.4,0.5,,0,4
race,Hispanic,0.4,0.5,,0,4
race,Other,0.4,0.5,,0,4
race,African-American,0.5,0.6,0.4,30,0
race,Hispanic,0.5,0.6,0.0,1,0
race,Caucasian,0.5,0.6,0.25,4,0
