Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,1.0,0.0,0.991869918699187,0.9652322599031063,inf,3509,0
race,African-American,0.0,0.0003058103975535168,1.0,0.965160909359315,117.0,3387,1
race,African-American,0.3,0.0021426385062748698,0.9790209790209791,0.956891495601173,20.0,3410,2
race,African-American,0.21428571428571427,0.0033082706766917294,0.970873786407767,0.9676196032672112,9.090909090909092,3428,3
race,African-American,1.0,0.0,0.9758064516129032,0.9647127442403033,inf,3429,4
race,Asian,,0.0,1.0,0.9347826086956522,inf,46,0
race,Asian,,0.0,,1.0,,44,1
race,Asian,,0.0,,1.0,,50,2
race,Asian,,0.0,1.0,0.9782608695652174,inf,46,3
race,Asian,,0.0,,1.0,,56,4
race,Caucasian,0.0,0.0007365742600776751,1.0,0.9745314438712205,34.45454545454545,15313,0
race,Caucasian,0.0,0.0004634227077126779,1.0,0.9768374741200828,50.142857142857146,15456,1
race,Caucasian,0.25,0.001597550422685216,0.9774647887323944,0.9758746260892184,14.458333333333334,15378,2
race,Caucasian,0.3333333333333333,0.0022604879994681205,0.9484848484848485,0.9774250211437122,9.205882352941176,15371,3
race,Caucasian,0.42857142857142855,0.0002661343978709248,0.9918918918918919,0.975909090909091,91.75,15400,4
race,Indian,,0.0,,1.0,,19,0
race,Indian,,0.0,,1.0,,15,1
race,Indian,,0.0,,1.0,,19,2
race,Indian,,0.0,,1.0,,15,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,,1.0,,315,0
race,Other,,0.0,1.0,0.9866666666666667,inf,300,1
race,Other,,0.0,1.0,0.9826086956521739,inf,345,2
race,Other,,0.0,1.0,0.9941520467836257,inf,342,3
race,Other,,0.0,1.0,0.9836601307189542,inf,306,4
sex,female,0.1,0.000696217219772569,0.9976635514018691,0.9673530512916511,47.44444444444444,13355,0
sex,female,0.0,0.00045948843620768876,1.0,0.9712754874237237,63.333333333333336,13438,1
sex,female,0.24324324324324326,0.0021558361564521095,0.9773299748110831,0.9689204333208816,13.857142857142858,13385,2
sex,female,0.35294117647058826,0.002541002541002541,0.9506849315068493,0.9715398442180947,10.515151515151516,13352,3
sex,female,0.6666666666666666,0.00023124951823017036,0.9849624060150376,0.9703858809452588,131.0,13372,4
sex,male,0.0,0.0003466204506065858,1.0,0.9864887976740209,38.5,5847,0
sex,male,0.0,0.0003526093088857546,1.0,0.9836918806384455,46.0,5764,1
sex,male,0.4,0.0005253940455341507,0.9813084112149533,0.9814337287261475,35.0,5817,2
sex,male,0.14285714285714285,0.00207648382073023,0.971830985915493,0.9861538461538462,5.75,5850,3
sex,male,0.0,0.00017452006980802793,1.0,0.9826758147512864,100.0,5830,4
