Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.4782608695652174,0.0038535645472061657,0.9721518987341772,0.8871473354231975,32.0,3509,0
race,African-American,0.5365853658536586,0.00628514720476348,0.9395604395604396,0.8934160023619723,18.0,3387,1
race,African-American,0.3939393939393939,0.006615944426066821,0.9664082687338501,0.884457478005865,18.7,3410,2
race,African-American,0.4411764705882353,0.006186909801367633,0.957983193277311,0.8946907817969662,18.0,3428,3
race,African-American,0.5,0.004939084622983207,0.9617346938775511,0.8856809565470983,25.133333333333333,3429,4
race,Asian,1.0,0.0,0.8,0.9130434782608695,inf,46,0
race,Asian,,0.0,1.0,0.9318181818181818,inf,44,1
race,Asian,,0.0,1.0,0.98,inf,50,2
race,Asian,1.0,0.0,0.5,0.9565217391304348,inf,46,3
race,Asian,,0.0,1.0,0.8928571428571429,inf,56,4
race,Caucasian,0.5223880597014925,0.00472987953588057,0.9607182940516273,0.8840201136289427,26.75,15313,0
race,Caucasian,0.4669811320754717,0.008252391733002264,0.9438457175269427,0.8850284679089027,14.725663716814159,15456,1
race,Caucasian,0.5538461538461539,0.006378299120234604,0.9378596087456847,0.8883469892053583,18.735632183908045,15378,2
race,Caucasian,0.48520710059171596,0.006358719485455343,0.9514505624629959,0.8897924663327045,18.471264367816094,15371,3
race,Caucasian,0.55,0.005310909493250719,0.9522517634291915,0.8813636363636363,24.375,15400,4
race,Indian,0.0,0.05263157894736842,,0.9473684210526315,0.0,19,0
race,Indian,,0.0,1.0,0.8666666666666667,inf,15,1
race,Indian,,0.0,1.0,0.9473684210526315,inf,19,2
race,Indian,,0.0,1.0,0.9333333333333333,inf,15,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,1.0,0.9555555555555556,inf,315,0
race,Other,0.0,0.006993006993006993,1.0,0.9466666666666667,7.0,300,1
race,Other,0.0,0.006153846153846154,1.0,0.936231884057971,10.0,345,2
race,Other,,0.0,1.0,0.97953216374269,inf,342,3
race,Other,1.0,0.0,0.9333333333333333,0.954248366013072,inf,306,4
sex,female,0.5,0.004666949512091642,0.964968152866242,0.8824410333208537,27.545454545454547,13355,0
sex,female,0.48502994011976047,0.007226890756302521,0.947334200260078,0.8851763655305849,16.941860465116278,13438,1
sex,female,0.5384615384615384,0.006593963986812072,0.9415167095115681,0.8847217033993277,18.78205128205128,13385,2
sex,female,0.4927536231884058,0.0059131610069268455,0.9550858652575958,0.8864589574595566,20.65714285714286,13352,3
sex,female,0.5107913669064749,0.005788712011577424,0.9563076923076923,0.8787017648818427,22.852941176470587,13372,4
sex,male,0.5510204081632653,0.004213752154759625,0.9568690095846646,0.8937916880451514,27.227272727272727,5847,0
sex,male,0.45454545454545453,0.009309542280837859,0.9342105263157895,0.8931297709923665,11.833333333333334,5764,1
sex,male,0.4918032786885246,0.005931879066207424,0.949238578680203,0.8982293278322159,18.096774193548388,5817,2
sex,male,0.4626865671641791,0.006784771956275914,0.9430147058823529,0.9061538461538462,14.25,5850,3
sex,male,0.6346153846153846,0.0036545489517214847,0.9477020602218701,0.8941680960548886,31.473684210526315,5830,4
